ANNEE,REGIONS / DISTRICTS,VILLES / COMMUNES,MALADIE,INCIDENCE SUR LA POPULATION GENERALE (%)
2012,ABIDJAN 2,ABENGOUROU ,PALUDISME,130.5467157845445
2012,ABIDJAN 1-GRANDS PONTS,ABOBO EST,PALUDISME,171.82522952969833
2012,ABIDJAN 1-GRANDS PONTS,ABOBO OUEST,PALUDISME,68.22406508460156
2012,ABIDJAN 1-GRANDS PONTS,ANYAMA,PALUDISME,192.06106724005
2012,ABIDJAN 1-GRANDS PONTS,COCODY-BINGERVILLE,PALUDISME,163.08513771170502
2012,ABIDJAN 1-GRANDS PONTS,KOUMASSI-PORT-BOUET-VRIDI,PALUDISME,128.4105855013121
2012,ABIDJAN 1-GRANDS PONTS,MARCORY-TREICHVILLE,PALUDISME,87.70410632846188
2012,ABIDJAN 1-GRANDS PONTS,ABENGOUROU ,PALUDISME,109.96263429341516
2012,ABIDJAN 1-GRANDS PONTS,ADJAME-PLATEAU-ATTECOUBE,PALUDISME,68.61283568400371
2012,ABIDJAN 1-GRANDS PONTS,DABOU,PALUDISME,145.73765410019791
2012,ABIDJAN 1-GRANDS PONTS,GRAND LAHOU,PALUDISME,134.38652976653546
2012,ABIDJAN 1-GRANDS PONTS,JACQUEVILLE,PALUDISME,7.789592326068221
2012,ABIDJAN 1-GRANDS PONTS,YOPOUGON EST,PALUDISME,102.14984513743434
2012,ABIDJAN 1-GRANDS PONTS,YOPOUGON OUEST,PALUDISME,131.71582758962705
2012,AGNEBY-TIASSA-ME,ABENGOUROU ,PALUDISME,114.8721164308225
2012,ABIDJAN 1-GRANDS PONTS,ADZOPE,PALUDISME,88.29295125724053
2012,ABIDJAN 1-GRANDS PONTS,AGBOVILLE,PALUDISME,105.73035136165828
2012,ABIDJAN 1-GRANDS PONTS,AKOUPE,PALUDISME,170.87982526945538
2012,ABIDJAN 1-GRANDS PONTS,ALEPE,PALUDISME,73.0426403276319
2012,ABIDJAN 1-GRANDS PONTS,SIKENSI,PALUDISME,186.46760213184763
2012,ABIDJAN 1-GRANDS PONTS,TIASSALE,PALUDISME,109.7605934753822
2012,BELIER,ABENGOUROU ,PALUDISME,151.46108478922636
2012,ABIDJAN 1-GRANDS PONTS,DIDIEVI,PALUDISME,161.2394278767814
2012,ABIDJAN 1-GRANDS PONTS,TIEBISSOU,PALUDISME,159.88488139999072
2012,ABIDJAN 1-GRANDS PONTS,TOUMODI,PALUDISME,7.789592326068221
2012,ABIDJAN 1-GRANDS PONTS,YAMOUSSOUKRO,PALUDISME,111.48552127418128
2012,BOUNKANI-GONTOUGO,ABENGOUROU ,PALUDISME,114.7579548031139
2012,ABIDJAN 1-GRANDS PONTS,BONDOUKOU,PALUDISME,88.40019682106889
2012,ABIDJAN 1-GRANDS PONTS,BOUNA,PALUDISME,98.7664100905278
2012,ABIDJAN 1-GRANDS PONTS,NASSIAN,PALUDISME,146.80746446884731
2012,ABIDJAN 1-GRANDS PONTS,TANDA,PALUDISME,155.11163337250295
2012,CAVALLY-GUEMON,ABENGOUROU ,PALUDISME,128.31895069944557
2012,ABIDJAN 1-GRANDS PONTS,BANGOLO,PALUDISME,125.28956086382544
2012,ABIDJAN 1-GRANDS PONTS,BLOLEQUIN,PALUDISME,89.17206450564743
2012,ABIDJAN 1-GRANDS PONTS,DUEKOUE,PALUDISME,84.43017656500803
2012,ABIDJAN 1-GRANDS PONTS,GUIGLO,PALUDISME,7.789592326068221
2012,ABIDJAN 1-GRANDS PONTS,KOUIBLY,PALUDISME,126.78769870029473
2012,ABIDJAN 1-GRANDS PONTS,TOULEPLEU,PALUDISME,98.02201830058516
2012,GBEKE,ABENGOUROU ,PALUDISME,109.51271897278409
2012,ABIDJAN 1-GRANDS PONTS,BEOUMI,PALUDISME,134.9713340622381
2012,ABIDJAN 1-GRANDS PONTS,BOUAKÉ NORD- EST,PALUDISME,86.33834987385696
2012,ABIDJAN 1-GRANDS PONTS,BOUAKÉ NORD- OUEST,PALUDISME,81.69314163139892
2012,ABIDJAN 1-GRANDS PONTS,BOUAKÉ SUD,PALUDISME,121.44043937785572
2012,ABIDJAN 1-GRANDS PONTS,SAKASSOU ,PALUDISME,190.2694109772423
2012,GBOKLE-NAWA-SAN-PEDRO,ABENGOUROU ,PALUDISME,95.43876503853797
2012,ABIDJAN 1-GRANDS PONTS,GUEYO,PALUDISME,36.455171921305386
2012,ABIDJAN 1-GRANDS PONTS,SAN-PEDRO,PALUDISME,99.81098187465196
2012,ABIDJAN 1-GRANDS PONTS,SASSANDRA,PALUDISME,150.2371930662052
2012,ABIDJAN 1-GRANDS PONTS,SOUBRE,PALUDISME,64.54790652590766
2012,ABIDJAN 1-GRANDS PONTS,TABOU,PALUDISME,202.31037931384344
2012,GÔH,ABENGOUROU ,PALUDISME,154.5453104017739
2012,ABIDJAN 1-GRANDS PONTS,GAGNOA,PALUDISME,141.901731882188
2012,ABIDJAN 1-GRANDS PONTS,OUME,PALUDISME,180.9092687919564
2012,HAMBOL,ABENGOUROU ,PALUDISME,119.25073180331096
2012,ABIDJAN 1-GRANDS PONTS,DABAKALA,PALUDISME,158.8376330679965
2012,ABIDJAN 1-GRANDS PONTS,KATIOLA,PALUDISME,132.28460324318604
2012,ABIDJAN 1-GRANDS PONTS,NIAKARAMADOUGOU,PALUDISME,63.15188929036411
2012,HAUT SASSANDRA,ABENGOUROU ,PALUDISME,67.83835930081483
2012,ABIDJAN 1-GRANDS PONTS,DALOA,PALUDISME,79.90929017668202
2012,ABIDJAN 1-GRANDS PONTS,ISSIA,PALUDISME,78.59524575097538
2012,ABIDJAN 1-GRANDS PONTS,VAVOUA ,PALUDISME,35.895204793124115
2012,INDENIE DUABLIN,ABENGOUROU ,PALUDISME,167.45572652784583
2012,ABIDJAN 1-GRANDS PONTS,ABENGOUROU ,PALUDISME,161.15470699391716
2012,ABIDJAN 1-GRANDS PONTS,AGNIBILEKROU,PALUDISME,200.19893693077617
2012,ABIDJAN 1-GRANDS PONTS,BETTIE,PALUDISME,124.0011184530029
2012,KABADOUGOU-BAFING-FOLON,ABENGOUROU ,PALUDISME,119.20870541231876
2012,ABIDJAN 1-GRANDS PONTS,MINIGNAN,PALUDISME,159.3909969935809
2012,ABIDJAN 1-GRANDS PONTS,ODIENNE,PALUDISME,116.74002316521006
